epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,263.923,0.66233,0.79462,1.00736,0.59248,0.39629,0.4351,0.28459,1.47294,2.03067,1.6274,0.000858125,0.000858125,0.000858125
97,266.578,0.69401,0.80133,0.98346,0.49566,0.38954,0.41111,0.26742,1.44563,2.02061,1.60716,0.000854,0.000854,0.000854
98,269.305,0.69203,0.831,0.98453,0.50567,0.35623,0.41427,0.25557,1.46334,2.02588,1.61699,0.000849875,0.000849875,0.000849875
99,271.988,0.74773,0.84289,1.05593,0.33221,0.42599,0.40299,0.25254,1.46812,2.10006,1.64787,0.00084575,0.00084575,0.00084575
100,274.725,0.66543,0.76819,0.97774,0.44409,0.39893,0.42586,0.26636,1.48184,2.09781,1.69832,0.000841625,0.000841625,0.000841625
101,277.475,0.69075,0.77066,0.97894,0.4309,0.43547,0.43293,0.26743,1.48071,2.10829,1.71701,0.0008375,0.0008375,0.0008375
102,280.147,0.64781,0.77914,0.97224,0.53568,0.46278,0.4724,0.2971,1.44933,2.08209,1.6732,0.000833375,0.000833375,0.000833375
103,282.827,0.69381,0.84086,1.00813,0.55213,0.45616,0.47634,0.30189,1.4485,2.03882,1.64947,0.00082925,0.00082925,0.00082925
104,285.52,0.63384,0.72181,0.97469,0.61292,0.45124,0.48087,0.31108,1.45927,2.09764,1.62521,0.000825125,0.000825125,0.000825125
105,288.21,0.69855,0.79436,1.01614,0.60586,0.3951,0.46336,0.30929,1.46437,2.20882,1.63554,0.000821,0.000821,0.000821
106,290.895,0.65005,0.75701,0.97474,0.4984,0.46877,0.4569,0.29645,1.4092,2.21284,1.62049,0.000816875,0.000816875,0.000816875
107,293.557,0.6578,0.79656,0.96325,0.5292,0.48874,0.47289,0.2886,1.3999,2.12974,1.61682,0.00081275,0.00081275,0.00081275
108,296.261,0.67124,0.75292,0.97256,0.54111,0.39131,0.4276,0.27797,1.37539,2.05218,1.61833,0.000808625,0.000808625,0.000808625
109,298.938,0.67268,0.83,1.03302,0.54754,0.39789,0.42832,0.27284,1.34263,2.05122,1.57168,0.0008045,0.0008045,0.0008045
110,301.641,0.67531,0.83294,0.9726,0.51601,0.39919,0.43374,0.27569,1.35212,1.98775,1.56939,0.000800375,0.000800375,0.000800375
111,304.315,0.63604,0.7498,0.94612,0.516,0.39774,0.43426,0.27219,1.34721,2.00311,1.5653,0.00079625,0.00079625,0.00079625
112,307.019,0.63874,0.68496,0.98934,0.47179,0.46544,0.44993,0.2783,1.38758,1.96995,1.62569,0.000792125,0.000792125,0.000792125
113,309.679,0.59851,0.73603,0.94688,0.57596,0.42378,0.48192,0.30614,1.39218,1.98515,1.66045,0.000788,0.000788,0.000788
114,312.402,0.62246,0.68622,0.96326,0.65828,0.4388,0.49889,0.29738,1.44726,2.05562,1.73337,0.000783875,0.000783875,0.000783875
115,315.065,0.63746,0.76039,0.98498,0.55557,0.48883,0.49939,0.30621,1.44951,2.08962,1.74355,0.00077975,0.00077975,0.00077975
116,317.737,0.6058,0.71491,0.97021,0.61351,0.45535,0.50387,0.31567,1.41666,2.072,1.68375,0.000775625,0.000775625,0.000775625
117,320.42,0.67925,0.84323,0.95187,0.59166,0.40614,0.4883,0.29864,1.3973,2.0421,1.65612,0.0007715,0.0007715,0.0007715
118,323.085,0.63681,0.71105,0.95176,0.54308,0.47668,0.47981,0.32266,1.40017,1.97501,1.65589,0.000767375,0.000767375,0.000767375
119,325.886,0.60486,0.75903,0.97293,0.51205,0.48489,0.49084,0.32746,1.4208,1.93948,1.69456,0.00076325,0.00076325,0.00076325
120,328.68,0.67629,0.74763,1.0111,0.50612,0.4703,0.47112,0.31915,1.37997,1.9742,1.68009,0.000759125,0.000759125,0.000759125
121,331.345,0.6697,0.74176,0.95064,0.61216,0.42973,0.48475,0.30609,1.37414,2.02349,1.67161,0.000755,0.000755,0.000755
122,334.022,0.65501,0.68962,0.96374,0.49646,0.43963,0.48333,0.29287,1.4403,2.0811,1.73227,0.000750875,0.000750875,0.000750875
123,336.689,0.62678,0.73767,0.96681,0.50002,0.42038,0.48074,0.2841,1.44762,2.0267,1.77824,0.00074675,0.00074675,0.00074675
124,339.356,0.62515,0.70444,0.97768,0.50104,0.45142,0.4536,0.27097,1.42658,2.06606,1.7611,0.000742625,0.000742625,0.000742625
125,342.013,0.62433,0.75969,0.99479,0.52843,0.45147,0.45968,0.26725,1.43832,2.03496,1.7812,0.0007385,0.0007385,0.0007385
126,344.696,0.62161,0.68791,0.98428,0.52303,0.43093,0.44107,0.27098,1.45902,2.03516,1.76959,0.000734375,0.000734375,0.000734375
127,347.363,0.62244,0.71385,0.98312,0.54054,0.38227,0.43269,0.26944,1.45087,2.01371,1.73498,0.00073025,0.00073025,0.00073025
128,350.066,0.59234,0.659,0.9286,0.5187,0.40012,0.4371,0.27943,1.42714,1.94201,1.73583,0.000726125,0.000726125,0.000726125
129,352.771,0.64396,0.73285,0.9607,0.41076,0.52409,0.44889,0.29496,1.43051,1.9522,1.72683,0.000722,0.000722,0.000722
130,355.437,0.62024,0.64503,0.97182,0.41024,0.4879,0.4337,0.28518,1.43687,2.1126,1.66685,0.000717875,0.000717875,0.000717875
131,358.103,0.60956,0.64206,0.94368,0.44044,0.48436,0.42606,0.28366,1.42742,2.17958,1.66152,0.00071375,0.00071375,0.00071375
132,360.907,0.62152,0.7029,0.95743,0.50079,0.43138,0.4199,0.28614,1.41488,2.17846,1.67996,0.000709625,0.000709625,0.000709625
133,363.564,0.63855,0.68114,0.95436,0.50159,0.44865,0.43522,0.29037,1.41376,2.12292,1.67929,0.0007055,0.0007055,0.0007055
134,366.352,0.57261,0.64849,0.93474,0.53842,0.46247,0.46051,0.31416,1.4035,2.04667,1.66409,0.000701375,0.000701375,0.000701375
135,369.078,0.60027,0.66666,0.95955,0.61708,0.44794,0.47816,0.32289,1.38085,2.0422,1.63159,0.00069725,0.00069725,0.00069725
136,371.831,0.62619,0.70255,0.93371,0.68676,0.41233,0.50887,0.34854,1.34936,2.11129,1.56439,0.000693125,0.000693125,0.000693125
137,374.597,0.5846,0.69291,0.95129,0.52535,0.51877,0.50398,0.34829,1.34867,2.15847,1.57314,0.000689,0.000689,0.000689
138,377.315,0.58287,0.64623,0.92426,0.58498,0.46365,0.48915,0.3324,1.33007,2.12158,1.53594,0.000684875,0.000684875,0.000684875
139,379.967,0.5683,0.64239,0.96381,0.56035,0.456,0.46863,0.31754,1.34201,2.09717,1.54646,0.00068075,0.00068075,0.00068075
140,382.688,0.60836,0.65391,0.94218,0.58718,0.45952,0.45127,0.30226,1.41367,2.10766,1.58302,0.000676625,0.000676625,0.000676625
141,385.379,0.58087,0.65607,0.94152,0.56337,0.42341,0.43286,0.27547,1.45133,2.10699,1.59247,0.0006725,0.0006725,0.0006725
142,388.064,0.63148,0.64363,0.95229,0.58086,0.39281,0.44148,0.28169,1.45151,2.24767,1.60377,0.000668375,0.000668375,0.000668375
143,390.714,0.57265,0.62526,0.94378,0.55607,0.42703,0.44139,0.29268,1.45523,2.31826,1.60816,0.00066425,0.00066425,0.00066425
144,393.375,0.6564,0.67852,0.95651,0.61655,0.37627,0.4552,0.29739,1.45361,2.3092,1.63943,0.000660125,0.000660125,0.000660125
145,396.047,0.58134,0.6278,0.95842,0.63281,0.38324,0.47742,0.32152,1.44858,2.17424,1.65921,0.000656,0.000656,0.000656
146,398.746,0.63169,0.67988,0.95862,0.64471,0.45788,0.50309,0.33738,1.46078,2.0591,1.66823,0.000651875,0.000651875,0.000651875
147,401.415,0.56178,0.61434,0.9367,0.611,0.41293,0.49624,0.32719,1.4576,2.08597,1.67605,0.00064775,0.00064775,0.00064775
148,404.095,0.551,0.56598,0.92629,0.58772,0.40872,0.47015,0.30392,1.52247,2.05598,1.76068,0.000643625,0.000643625,0.000643625
149,406.738,0.55287,0.59751,0.93011,0.55639,0.40534,0.47898,0.31233,1.52578,2.00744,1.78786,0.0006395,0.0006395,0.0006395
150,409.386,0.61304,0.69718,0.97459,0.62847,0.39345,0.4979,0.31909,1.48656,1.96164,1.76289,0.000635375,0.000635375,0.000635375
151,412.039,0.55323,0.6035,0.92777,0.56761,0.44279,0.49983,0.31196,1.47923,1.99976,1.76754,0.00063125,0.00063125,0.00063125
152,414.703,0.58113,0.64178,0.94565,0.51696,0.50322,0.4963,0.31431,1.47936,1.97215,1.79862,0.000627125,0.000627125,0.000627125
153,417.38,0.5712,0.62529,0.9405,0.67274,0.39598,0.4923,0.3061,1.4693,1.97545,1.78976,0.000623,0.000623,0.000623
154,420.124,0.55934,0.61762,0.94162,0.54833,0.4709,0.487,0.29672,1.46846,2.11661,1.76439,0.000618875,0.000618875,0.000618875
155,422.789,0.59644,0.62483,0.92721,0.51644,0.48457,0.48406,0.29995,1.44519,2.11591,1.73463,0.00061475,0.00061475,0.00061475
156,425.529,0.59704,0.67833,0.94647,0.4811,0.52242,0.49411,0.31965,1.48547,2.03919,1.75981,0.000610625,0.000610625,0.000610625
157,428.199,0.57995,0.63189,0.94306,0.48571,0.488,0.48359,0.3196,1.46663,1.98408,1.71971,0.0006065,0.0006065,0.0006065
158,430.972,0.56037,0.58088,0.90843,0.46375,0.545,0.51773,0.33511,1.44606,1.92818,1.70167,0.000602375,0.000602375,0.000602375
159,433.767,0.59601,0.59884,0.92081,0.45861,0.5732,0.49619,0.32851,1.43801,1.9283,1.69781,0.00059825,0.00059825,0.00059825
160,436.592,0.58357,0.63665,0.94593,0.61756,0.42972,0.48811,0.32353,1.42677,1.9896,1.67796,0.000594125,0.000594125,0.000594125
161,439.356,0.55842,0.60058,0.9223,0.69841,0.39684,0.48461,0.32488,1.44466,2.01984,1.6979,0.00059,0.00059,0.00059
162,442.104,0.51709,0.57901,0.91776,0.61496,0.38812,0.47546,0.31513,1.38842,2.0674,1.62607,0.000585875,0.000585875,0.000585875
163,444.895,0.5573,0.5864,0.92746,0.55702,0.38941,0.46732,0.30857,1.38604,2.07227,1.61625,0.00058175,0.00058175,0.00058175
164,447.655,0.58384,0.59517,0.92029,0.61316,0.40017,0.4673,0.30463,1.34312,1.95979,1.57646,0.000577625,0.000577625,0.000577625
165,450.36,0.60231,0.60786,0.92814,0.59861,0.41731,0.44731,0.30949,1.3442,1.95023,1.58292,0.0005735,0.0005735,0.0005735
166,453.042,0.47213,0.60168,0.88639,0.62079,0.42563,0.46259,0.32058,1.35325,1.95836,1.57261,0.000569375,0.000569375,0.000569375
167,455.706,0.56289,0.63663,0.95511,0.5577,0.40779,0.4486,0.31282,1.3723,1.93292,1.62203,0.00056525,0.00056525,0.00056525
168,458.362,0.55685,0.64809,0.93747,0.42276,0.40719,0.43107,0.30178,1.40919,1.96428,1.64975,0.000561125,0.000561125,0.000561125
169,461.026,0.63231,0.90273,0.97894,0.47051,0.40206,0.43803,0.30187,1.41526,1.94276,1.65466,0.000557,0.000557,0.000557
170,463.731,0.52218,0.60411,0.92763,0.58461,0.38884,0.46012,0.30519,1.46062,1.8833,1.69783,0.000552875,0.000552875,0.000552875
171,466.455,0.57519,0.619,0.91021,0.62617,0.38884,0.4849,0.3082,1.49348,1.86687,1.73602,0.00054875,0.00054875,0.00054875
172,469.166,0.53185,0.56752,0.91832,0.61659,0.37099,0.47912,0.31798,1.48206,1.93365,1.72166,0.000544625,0.000544625,0.000544625
173,471.879,0.56049,0.5536,0.94313,0.65003,0.37838,0.49186,0.32891,1.47537,1.96846,1.71103,0.0005405,0.0005405,0.0005405
174,474.629,0.53694,0.56041,0.94801,0.53442,0.52252,0.50706,0.33576,1.41504,2.01645,1.66647,0.000536375,0.000536375,0.000536375
175,477.371,0.57538,0.5908,0.95188,0.50278,0.51729,0.5258,0.35196,1.41884,2.09761,1.66956,0.00053225,0.00053225,0.00053225
176,480.237,0.52168,0.51161,0.90092,0.55413,0.48274,0.51107,0.3573,1.40407,2.03024,1.65643,0.000528125,0.000528125,0.000528125
177,483.023,0.55966,0.6056,0.92048,0.54554,0.45017,0.50384,0.35457,1.39905,2.07187,1.64058,0.000524,0.000524,0.000524
178,485.775,0.55446,0.72112,0.93435,0.63341,0.42057,0.50006,0.34589,1.42523,2.14133,1.66456,0.000519875,0.000519875,0.000519875
179,488.486,0.57191,0.68437,0.92193,0.62095,0.42503,0.48936,0.34555,1.40269,2.13768,1.6401,0.00051575,0.00051575,0.00051575
180,491.279,0.5287,0.65559,0.94012,0.64114,0.40295,0.49135,0.36367,1.37566,2.09363,1.63646,0.000511625,0.000511625,0.000511625
181,493.965,0.55634,0.56919,0.93643,0.48682,0.49251,0.47936,0.35133,1.34544,2.04775,1.64101,0.0005075,0.0005075,0.0005075
182,496.686,0.54809,0.57298,0.93596,0.51355,0.44181,0.48248,0.34282,1.3307,2.03339,1.63367,0.000503375,0.000503375,0.000503375
183,499.516,0.49382,0.53087,0.89183,0.49537,0.47091,0.48265,0.33682,1.35643,2.03184,1.65935,0.00049925,0.00049925,0.00049925
184,502.365,0.58916,0.5866,0.93118,0.54511,0.43072,0.47634,0.32202,1.40277,2.03884,1.68129,0.000495125,0.000495125,0.000495125
185,505.156,0.52954,0.54945,0.90761,0.51223,0.45084,0.45207,0.30544,1.41192,2.06588,1.68045,0.000491,0.000491,0.000491
