epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,370.621,0.7263,0.79428,0.98054,0.44563,0.50774,0.46552,0.28375,1.49614,2.01071,1.74356,0.000915875,0.000915875,0.000915875
137,373.287,0.68085,0.74372,1.00456,0.74012,0.36767,0.47356,0.29456,1.50854,2.01426,1.72444,0.0009134,0.0009134,0.0009134
138,375.97,0.6805,0.70778,0.95567,0.51538,0.36781,0.40774,0.2674,1.53763,2.17786,1.68635,0.000910925,0.000910925,0.000910925
139,378.643,0.70156,0.73938,1.01533,0.54846,0.3402,0.40325,0.25663,1.56709,2.21625,1.69754,0.00090845,0.00090845,0.00090845
140,381.323,0.69923,0.7401,0.97078,0.46551,0.3837,0.38963,0.25409,1.63984,2.16008,1.71023,0.000905975,0.000905975,0.000905975
141,384.077,0.67674,0.7423,0.98757,0.54765,0.36791,0.41009,0.26086,1.60214,2.11057,1.68556,0.0009035,0.0009035,0.0009035
142,386.87,0.69283,0.70546,0.97611,0.49167,0.42731,0.41635,0.26793,1.63434,2.21396,1.7221,0.000901025,0.000901025,0.000901025
143,389.661,0.6805,0.70374,0.98268,0.56492,0.46572,0.44736,0.3027,1.55001,2.20101,1.64921,0.00089855,0.00089855,0.00089855
144,392.481,0.75281,0.76444,0.99844,0.63626,0.50007,0.51784,0.34569,1.50626,2.16824,1.63527,0.000896075,0.000896075,0.000896075
145,395.25,0.68385,0.73299,0.9908,0.66207,0.51422,0.53363,0.3532,1.49754,2.07195,1.64572,0.0008936,0.0008936,0.0008936
146,398.023,0.73139,0.75719,0.98532,0.83329,0.48011,0.53997,0.33423,1.46169,1.77493,1.6358,0.000891125,0.000891125,0.000891125
147,400.673,0.6524,0.66286,0.95488,0.8083,0.48295,0.54508,0.33152,1.49064,1.782,1.69018,0.00088865,0.00088865,0.00088865
148,403.366,0.66076,0.66213,0.97074,0.809,0.47286,0.53055,0.313,1.50335,1.82057,1.73022,0.000886175,0.000886175,0.000886175
149,406.022,0.6874,0.67929,1.0015,0.64434,0.48322,0.51125,0.29853,1.53027,1.92518,1.74499,0.0008837,0.0008837,0.0008837
150,408.696,0.73906,0.71819,1.04166,0.60189,0.46306,0.49723,0.29044,1.56302,1.94604,1.78115,0.000881225,0.000881225,0.000881225
151,411.365,0.70074,0.68912,0.9843,0.47725,0.44918,0.45471,0.28371,1.58762,2.01925,1.79753,0.00087875,0.00087875,0.00087875
